,UniProt entry,UniProt residues,PDB ID,PDB chain ID,PDB residues,Category,Gene name,Species,Res_start,Res_stop,Uniprot_ID
51,FYN_HUMAN,149 - 231,2MQI,A,149 - 231,Kinases,FYN,HUMAN,149,231,P06241
52,FYN_HUMAN,149 - 231,2MRJ,A,149 - 231,Kinases,FYN,HUMAN,149,231,P06241
53,FYN_HUMAN,149 - 231,2MRK,A,149 - 231,Kinases,FYN,HUMAN,149,231,P06241
54,FYN_HUMAN,149 - 231,4U17,A,13 - 95,Kinases,FYN,HUMAN,13,95,P06241
55,FYN_HUMAN,149 - 231,4U17,B,13 - 95,Kinases,FYN,HUMAN,13,95,P06241
56,FYN_HUMAN,149 - 231,4U17,C,13 - 95,Kinases,FYN,HUMAN,13,95,P06241
57,FYN_HUMAN,149 - 231,4U1P,A,23 - 105,Kinases,FYN,HUMAN,23,105,P06241
58,GRAP2_HUMAN,58 - 132,5GJH,A,58 - 132,Adaptors,GRAP2,HUMAN,58,132,O75791
59,GRAP2_HUMAN,58 - 132,5GJH,C,58 - 132,Adaptors,GRAP2,HUMAN,58,132,O75791
60,GRB10_HUMAN,493 - 574,1NRV,A,435 - 516,SigReg,GRB10,HUMAN,435,516,Q13322
61,GRB10_HUMAN,493 - 574,1NRV,B,435 - 516,SigReg,GRB10,HUMAN,435,516,Q13322
62,GRB14_HUMAN,439 - 520,2AUG,A,439 - 520,SigReg,GRB14,HUMAN,439,520,Q14449
63,GRB14_HUMAN,439 - 520,2AUG,B,439 - 520,SigReg,GRB14,HUMAN,439,520,Q14449
64,GRB2_HUMAN,60 - 135,1BM2,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
65,GRB2_HUMAN,60 - 135,1BMB,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
66,GRB2_HUMAN,60 - 135,1CJ1,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
67,GRB2_HUMAN,60 - 135,1CJ1,B,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
68,GRB2_HUMAN,60 - 135,1CJ1,C,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
69,GRB2_HUMAN,60 - 135,1CJ1,D,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
70,GRB2_HUMAN,60 - 135,1CJ1,E,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
71,GRB2_HUMAN,60 - 135,1CJ1,F,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
72,GRB2_HUMAN,60 - 135,1CJ1,G,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
73,GRB2_HUMAN,60 - 135,1CJ1,H,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
74,GRB2_HUMAN,60 - 135,1CJ1,I,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
75,GRB2_HUMAN,60 - 135,1CJ1,J,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
76,GRB2_HUMAN,60 - 135,1CJ1,K,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
77,GRB2_HUMAN,60 - 135,1CJ1,L,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
78,GRB2_HUMAN,60 - 135,1FHS,A,9 - 84,Adaptors,GRB2,HUMAN,9,84,P62993
79,GRB2_HUMAN,60 - 135,1FYR,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
80,GRB2_HUMAN,60 - 135,1FYR,B,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
81,GRB2_HUMAN,60 - 135,1FYR,C,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
82,GRB2_HUMAN,60 - 135,1FYR,D,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
83,GRB2_HUMAN,60 - 135,1GHU,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
84,GRB2_HUMAN,60 - 135,1GRI,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
85,GRB2_HUMAN,60 - 135,1GRI,B,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
86,GRB2_HUMAN,60 - 135,1JYQ,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
87,GRB2_HUMAN,60 - 135,1JYQ,B,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
88,GRB2_HUMAN,60 - 135,1JYR,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
89,GRB2_HUMAN,60 - 135,1JYU,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
90,GRB2_HUMAN,60 - 135,1QG1,E,5 - 80,Adaptors,GRB2,HUMAN,5,80,P62993
91,GRB2_HUMAN,60 - 135,1TZE,E,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
92,GRB2_HUMAN,60 - 135,1X0N,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
93,GRB2_HUMAN,60 - 135,1ZFP,E,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
94,GRB2_HUMAN,60 - 135,2AOA,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
95,GRB2_HUMAN,60 - 135,2AOB,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
96,GRB2_HUMAN,60 - 135,2AOB,B,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
97,GRB2_HUMAN,60 - 135,2AOB,C,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
98,GRB2_HUMAN,60 - 135,2AOB,D,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
99,GRB2_HUMAN,60 - 135,2H46,E,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
100,GRB2_HUMAN,60 - 135,2H5K,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
101,GRB2_HUMAN,60 - 135,2H5K,B,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
102,GRB2_HUMAN,60 - 135,2HUW,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
103,GRB2_HUMAN,60 - 135,2HUW,B,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
104,GRB2_HUMAN,60 - 135,3C7I,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
105,GRB2_HUMAN,60 - 135,3IMD,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
106,GRB2_HUMAN,60 - 135,3IMD,B,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
107,GRB2_HUMAN,60 - 135,3IMJ,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
108,GRB2_HUMAN,60 - 135,3IMJ,B,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
109,GRB2_HUMAN,60 - 135,3IN7,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
110,GRB2_HUMAN,60 - 135,3IN7,C,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
111,GRB2_HUMAN,60 - 135,3IN8,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
112,GRB2_HUMAN,60 - 135,3KFJ,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
113,GRB2_HUMAN,60 - 135,3MXC,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
114,GRB2_HUMAN,60 - 135,3MXY,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
115,GRB2_HUMAN,60 - 135,3N7Y,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
116,GRB2_HUMAN,60 - 135,3N7Y,B,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
117,GRB2_HUMAN,60 - 135,3N7Y,C,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
118,GRB2_HUMAN,60 - 135,3N84,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
119,GRB2_HUMAN,60 - 135,3N84,B,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
120,GRB2_HUMAN,60 - 135,3N84,C,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
121,GRB2_HUMAN,60 - 135,3N84,D,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
122,GRB2_HUMAN,60 - 135,3N84,E,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
123,GRB2_HUMAN,60 - 135,3N84,F,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
124,GRB2_HUMAN,60 - 135,3N8M,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
125,GRB2_HUMAN,60 - 135,3OV1,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
126,GRB2_HUMAN,60 - 135,3OVE,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
127,GRB2_HUMAN,60 - 135,3S8L,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
128,GRB2_HUMAN,60 - 135,3S8N,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
129,GRB2_HUMAN,60 - 135,3S8O,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
130,GRB2_HUMAN,60 - 135,3WA4,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
131,GRB2_HUMAN,60 - 135,4P9V,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
132,GRB2_HUMAN,60 - 135,4P9Z,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
133,GRB2_HUMAN,60 - 135,5CDW,A,8 - 83,Adaptors,GRB2,HUMAN,8,83,P62993
134,GRB2_HUMAN,60 - 135,5CDW,B,8 - 83,Adaptors,GRB2,HUMAN,8,83,P62993
135,GRB2_HUMAN,60 - 135,5CDW,C,8 - 83,Adaptors,GRB2,HUMAN,8,83,P62993
136,GRB2_HUMAN,60 - 135,5CDW,c,8 - 83,Adaptors,GRB2,HUMAN,8,83,P62993
137,GRB2_HUMAN,60 - 135,5CDW,d,8 - 83,Adaptors,GRB2,HUMAN,8,83,P62993
138,GRB2_HUMAN,60 - 135,5CDW,E,8 - 83,Adaptors,GRB2,HUMAN,8,83,P62993
139,GRB2_HUMAN,60 - 135,5CDW,G,8 - 83,Adaptors,GRB2,HUMAN,8,83,P62993
140,GRB2_HUMAN,60 - 135,5CDW,H,8 - 83,Adaptors,GRB2,HUMAN,8,83,P62993
141,GRB2_HUMAN,60 - 135,5CDW,K,8 - 83,Adaptors,GRB2,HUMAN,8,83,P62993
142,GRB2_HUMAN,60 - 135,5CDW,L,8 - 83,Adaptors,GRB2,HUMAN,8,83,P62993
143,GRB2_HUMAN,60 - 135,5CDW,O,8 - 83,Adaptors,GRB2,HUMAN,8,83,P62993
144,GRB2_HUMAN,60 - 135,5CDW,P,8 - 83,Adaptors,GRB2,HUMAN,8,83,P62993
145,GRB2_HUMAN,60 - 135,5CDW,U,8 - 83,Adaptors,GRB2,HUMAN,8,83,P62993
146,GRB2_HUMAN,60 - 135,5CDW,V,8 - 83,Adaptors,GRB2,HUMAN,8,83,P62993
147,GRB2_HUMAN,60 - 135,5CDW,Y,8 - 83,Adaptors,GRB2,HUMAN,8,83,P62993
148,GRB2_HUMAN,60 - 135,5CDW,Z,8 - 83,Adaptors,GRB2,HUMAN,8,83,P62993
149,GRB2_HUMAN,60 - 135,6ICG,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
150,GRB2_HUMAN,60 - 135,6ICG,B,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
151,GRB2_HUMAN,60 - 135,6ICH,A,60 - 135,Adaptors,GRB2,HUMAN,60,135,P62993
152,GRB2_HUMAN,68 - 135,2AOA,B,68 - 135,Adaptors,GRB2,HUMAN,68,135,P62993
153,GRB7_HUMAN,431 - 512,1MW4,A,19 - 100,SigReg,GRB7,HUMAN,19,100,Q14451
154,GRB7_HUMAN,431 - 512,2L4K,A,19 - 100,SigReg,GRB7,HUMAN,19,100,Q14451
155,GRB7_HUMAN,431 - 512,2QMS,A,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
156,GRB7_HUMAN,431 - 512,2QMS,B,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
157,GRB7_HUMAN,431 - 512,2QMS,C,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
158,GRB7_HUMAN,431 - 512,2QMS,D,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
159,GRB7_HUMAN,431 - 512,3PQZ,A,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
160,GRB7_HUMAN,431 - 512,3PQZ,B,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
161,GRB7_HUMAN,431 - 512,3PQZ,C,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
162,GRB7_HUMAN,431 - 512,3PQZ,D,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
163,GRB7_HUMAN,431 - 512,4WWQ,A,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
164,GRB7_HUMAN,431 - 512,4WWQ,B,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
165,GRB7_HUMAN,431 - 512,4X6S,A,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
166,GRB7_HUMAN,431 - 512,4X6S,B,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
167,GRB7_HUMAN,431 - 512,5D0J,A,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
168,GRB7_HUMAN,431 - 512,5D0J,B,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
169,GRB7_HUMAN,431 - 512,5D0J,C,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
170,GRB7_HUMAN,431 - 512,5D0J,D,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
171,GRB7_HUMAN,431 - 512,5EEL,A,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
172,GRB7_HUMAN,431 - 512,5EEL,B,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
173,GRB7_HUMAN,431 - 512,5EEL,C,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
174,GRB7_HUMAN,431 - 512,5EEL,D,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
175,GRB7_HUMAN,431 - 512,5EEL,E,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
176,GRB7_HUMAN,431 - 512,5EEL,F,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
177,GRB7_HUMAN,431 - 512,5EEQ,A,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
178,GRB7_HUMAN,431 - 512,5EEQ,B,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
179,GRB7_HUMAN,431 - 512,5TYI,A,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
180,GRB7_HUMAN,431 - 512,5TYI,B,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
181,GRB7_HUMAN,431 - 512,5TYI,C,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
182,GRB7_HUMAN,431 - 512,5TYI,D,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
183,GRB7_HUMAN,431 - 512,5U06,A,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
184,GRB7_HUMAN,431 - 512,5U06,B,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
185,GRB7_HUMAN,431 - 512,5U06,C,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
186,GRB7_HUMAN,431 - 512,5U06,D,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
187,GRB7_HUMAN,431 - 512,5U1Q,A,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
188,GRB7_HUMAN,431 - 512,5U1Q,B,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
189,GRB7_HUMAN,431 - 512,5U1Q,C,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
190,GRB7_HUMAN,431 - 512,5U1Q,D,431 - 512,SigReg,GRB7,HUMAN,431,512,Q14451
191,HCK_HUMAN,144 - 226,1AD5,A,148 - 230,Kinases,HCK,HUMAN,148,230,P08631
192,HCK_HUMAN,144 - 226,1AD5,B,148 - 230,Kinases,HCK,HUMAN,148,230,P08631
193,HCK_HUMAN,144 - 226,1QCF,A,148 - 230,Kinases,HCK,HUMAN,148,230,P08631
194,HCK_HUMAN,144 - 226,2C0I,A,123 - 205,Kinases,HCK,HUMAN,123,205,P08631
195,HCK_HUMAN,144 - 226,2C0I,B,123 - 205,Kinases,HCK,HUMAN,123,205,P08631
196,HCK_HUMAN,144 - 226,2C0O,A,123 - 205,Kinases,HCK,HUMAN,123,205,P08631
197,HCK_HUMAN,144 - 226,2C0O,B,123 - 205,Kinases,HCK,HUMAN,123,205,P08631
198,HCK_HUMAN,144 - 226,2C0T,A,123 - 205,Kinases,HCK,HUMAN,123,205,P08631
199,HCK_HUMAN,144 - 226,2C0T,B,123 - 205,Kinases,HCK,HUMAN,123,205,P08631
200,HCK_HUMAN,144 - 226,2HCK,A,148 - 230,Kinases,HCK,HUMAN,148,230,P08631
201,HCK_HUMAN,144 - 226,2HCK,B,148 - 230,Kinases,HCK,HUMAN,148,230,P08631
202,HCK_HUMAN,144 - 226,3HCK,A,6 - 88,Kinases,HCK,HUMAN,6,88,P08631
203,HCK_HUMAN,144 - 226,3NHN,A,148 - 230,Kinases,HCK,HUMAN,148,230,P08631
204,HCK_HUMAN,144 - 226,3VRY,A,149 - 231,Kinases,HCK,HUMAN,149,231,P08631
205,HCK_HUMAN,144 - 226,3VRY,B,149 - 231,Kinases,HCK,HUMAN,149,231,P08631
206,HCK_HUMAN,144 - 226,3VRZ,A,149 - 231,Kinases,HCK,HUMAN,149,231,P08631
207,HCK_HUMAN,144 - 226,3VRZ,B,149 - 231,Kinases,HCK,HUMAN,149,231,P08631
208,HCK_HUMAN,144 - 226,3VS0,A,149 - 231,Kinases,HCK,HUMAN,149,231,P08631
209,HCK_HUMAN,144 - 226,3VS0,B,149 - 231,Kinases,HCK,HUMAN,149,231,P08631
210,HCK_HUMAN,144 - 226,3VS1,A,149 - 231,Kinases,HCK,HUMAN,149,231,P08631
211,HCK_HUMAN,144 - 226,3VS1,B,149 - 231,Kinases,HCK,HUMAN,149,231,P08631
212,HCK_HUMAN,144 - 226,3VS2,A,149 - 231,Kinases,HCK,HUMAN,149,231,P08631
213,HCK_HUMAN,144 - 226,3VS2,B,149 - 231,Kinases,HCK,HUMAN,149,231,P08631
214,HCK_HUMAN,144 - 226,3VS3,A,149 - 231,Kinases,HCK,HUMAN,149,231,P08631
215,HCK_HUMAN,144 - 226,3VS3,B,149 - 231,Kinases,HCK,HUMAN,149,231,P08631
216,HCK_HUMAN,144 - 226,3VS4,A,149 - 231,Kinases,HCK,HUMAN,149,231,P08631
217,HCK_HUMAN,144 - 226,3VS4,B,149 - 231,Kinases,HCK,HUMAN,149,231,P08631
218,HCK_HUMAN,144 - 226,3VS5,A,149 - 231,Kinases,HCK,HUMAN,149,231,P08631
219,HCK_HUMAN,144 - 226,3VS5,B,149 - 231,Kinases,HCK,HUMAN,149,231,P08631
220,HCK_HUMAN,144 - 226,3VS6,A,149 - 231,Kinases,HCK,HUMAN,149,231,P08631
221,HCK_HUMAN,144 - 226,3VS6,B,149 - 231,Kinases,HCK,HUMAN,149,231,P08631
222,HCK_HUMAN,144 - 226,3VS7,A,149 - 231,Kinases,HCK,HUMAN,149,231,P08631
223,HCK_HUMAN,144 - 226,3VS7,B,149 - 231,Kinases,HCK,HUMAN,149,231,P08631
224,HCK_HUMAN,144 - 226,4LUD,A,149 - 231,Kinases,HCK,HUMAN,149,231,P08631
225,HCK_HUMAN,144 - 226,4LUD,B,149 - 231,Kinases,HCK,HUMAN,149,231,P08631
226,HCK_HUMAN,144 - 226,4LUE,A,149 - 231,Kinases,HCK,HUMAN,149,231,P08631
227,HCK_HUMAN,144 - 226,4LUE,B,149 - 231,Kinases,HCK,HUMAN,149,231,P08631
228,HCK_HUMAN,144 - 226,4U5W,B,148 - 230,Kinases,HCK,HUMAN,148,230,P08631
229,HCK_HUMAN,144 - 226,4U5W,D,148 - 230,Kinases,HCK,HUMAN,148,230,P08631
230,HCK_HUMAN,144 - 226,5H09,A,149 - 231,Kinases,HCK,HUMAN,149,231,P08631
231,HCK_HUMAN,144 - 226,5H0B,A,149 - 231,Kinases,HCK,HUMAN,149,231,P08631
232,HCK_HUMAN,144 - 226,5H0E,A,149 - 231,Kinases,HCK,HUMAN,149,231,P08631
233,HCK_HUMAN,144 - 226,5H0G,A,149 - 231,Kinases,HCK,HUMAN,149,231,P08631
234,HCK_HUMAN,144 - 226,5H0H,A,149 - 231,Kinases,HCK,HUMAN,149,231,P08631
235,HSH2D_HUMAN,34 - 109,2CS0,A,18 - 93,SigReg,HSH2D,HUMAN,18,93,Q96JZ2
236,JAK2_HUMAN,400 - 480,4Z32,H,400 - 480,Kinases,JAK2,HUMAN,400,480,O60674
237,JAK2_HUMAN,400 - 481,4Z32,A,400 - 481,Kinases,JAK2,HUMAN,400,481,O60674
238,JAK2_HUMAN,400 - 481,4Z32,B,400 - 481,Kinases,JAK2,HUMAN,400,481,O60674
239,JAK2_HUMAN,400 - 481,4Z32,C,400 - 481,Kinases,JAK2,HUMAN,400,481,O60674
240,JAK2_HUMAN,400 - 481,4Z32,D,400 - 481,Kinases,JAK2,HUMAN,400,481,O60674
241,JAK2_HUMAN,400 - 481,4Z32,E,400 - 481,Kinases,JAK2,HUMAN,400,481,O60674
242,JAK2_HUMAN,400 - 481,4Z32,F,400 - 481,Kinases,JAK2,HUMAN,400,481,O60674
243,JAK2_HUMAN,400 - 481,4Z32,G,400 - 481,Kinases,JAK2,HUMAN,400,481,O60674
244,JAK2_HUMAN,400 - 481,6E2P,A,400 - 481,Kinases,JAK2,HUMAN,400,481,O60674
245,JAK2_HUMAN,400 - 481,6E2P,B,400 - 481,Kinases,JAK2,HUMAN,400,481,O60674
246,JAK2_HUMAN,400 - 481,6E2Q,A,400 - 481,Kinases,JAK2,HUMAN,400,481,O60674
